//Type,Ref,Accuracy,Damage,Range,ROF,Mobility
weapon_pistol,beretta,0,0,0,0,0
weapon_pistol,colt45,0,0,0,0,0
weapon_pistol,usp,0,0,0,0,0
weapon_pistol,deserteagle,0,0,0,0,0
weapon_pistol,deserteaglegold,0,0,0,0,0
weapon_smg,mp5,85,75,45,65,100
weapon_smg,mp5_acog,-10,0,20,0,0
weapon_smg,mp5_reflex,0,0,0,0,0
weapon_smg,mp5_silencer,0,0,-20,0,0
weapon_smg,skorpion,90,75,30,75,100
weapon_smg,skorpion_acog,-10,0,20,0,0
weapon_smg,skorpion_reflex,0,0,0,0,0
weapon_smg,skorpion_silencer,0,0,-20,0,0
weapon_smg,uzi,80,75,40,85,100
weapon_smg,uzi_acog,-10,0,20,0,0
weapon_smg,uzi_reflex,0,0,0,0,0
weapon_smg,uzi_silencer,0,0,-20,0,0
weapon_smg,ak74u,65,85,40,60,100
weapon_smg,ak74u_acog,-10,0,20,0,0
weapon_smg,ak74u_reflex,0,0,0,0,0
weapon_smg,ak74u_silencer,0,0,-20,0,0
weapon_smg,p90,80,60,40,90,100
weapon_smg,p90_acog,-10,0,20,0,0
weapon_smg,p90_reflex,0,0,0,0,0
weapon_smg,p90_silencer,0,0,-20,0,0
weapon_assault,ak47,50,75,75,50,66
weapon_assault,ak47_acog,-10,0,20,0,0
weapon_assault,ak47_reflex,0,0,0,0,0
weapon_assault,ak47_silencer,0,0,-20,0,0
weapon_assault,ak47_gl,0,0,0,0,0
weapon_assault,m14,75,80,75,35,66
weapon_assault,m14_acog,-10,0,20,0,0
weapon_assault,m14_reflex,0,0,0,0,0
weapon_assault,m14_silencer,0,0,-20,0,0
weapon_assault,m14_gl,0,0,0,0,0
weapon_assault,m4,75,40,75,75,66
weapon_assault,m4_acog,-10,0,20,0,0
weapon_assault,m4_reflex,0,0,0,0,0
weapon_assault,m4_silencer,0,0,-20,0,0
weapon_assault,m4_gl,0,0,0,0,0
weapon_assault,mp44,50,75,75,25,66
weapon_assault,kar98,60,90,80,20,66
weapon_assault,g3,90,60,75,35,66
weapon_assault,g3_acog,-10,0,20,0,0
weapon_assault,g3_reflex,0,0,0,0,0
weapon_assault,g3_silencer,0,0,-20,0,0
weapon_assault,g3_gl,0,0,0,0,0
weapon_assault,g36c,70,60,75,60,66
weapon_assault,g36c_acog,-10,0,20,0,0
weapon_assault,g36c_reflex,0,0,0,0,0
weapon_assault,g36c_silencer,0,0,-20,0,0
weapon_assault,g36c_gl,0,0,0,0,0
weapon_assault,m16,85,60,75,80,66
weapon_assault,m16_acog,-10,0,20,0,0
weapon_assault,m16_reflex,0,0,0,0,0
weapon_assault,m16_silencer,0,0,-20,0,0
weapon_assault,m16_gl,0,0,0,0,0
weapon_assault,m4,75,40,75,75,66
weapon_assault,m4_acog,-10,0,20,0,0
weapon_assault,m4_reflex,0,0,0,0,0
weapon_assault,m4_silencer,0,0,-20,0,0
weapon_assault,m4_gl,0,0,0,0,0
weapon_projectile,rpg,0,0,0,0,0
weapon_sniper,dragunov,60,80,100,50,66
weapon_sniper,dragunov_acog,0,0,-20,0,0
weapon_sniper,m40a3,80,80,100,20,66
weapon_sniper,m40a3_acog,0,0,-20,0,0
weapon_sniper,barrett,60,90,100,35,66
weapon_sniper,barrett_acog,0,0,-20,0,0
weapon_sniper,remington700,70,90,100,20,66
weapon_sniper,remington700_acog,0,0,-20,0,0
weapon_sniper,m21,60,65,100,50,66
weapon_sniper,m21_acog,0,0,-20,0,0
weapon_shotgun,m1014,30,80,20,35,100
weapon_shotgun,m1014_reflex,0,0,0,0,0
weapon_shotgun,m1014_grip,25,0,0,0,0
weapon_shotgun,winchester1200,25,90,20,20,100
weapon_shotgun,winchester1200_reflex,0,0,0,0,0
weapon_shotgun,winchester1200_grip,25,0,0,0,0
weapon_lmg,rpd,60,75,75,50,33
weapon_lmg,rpd_acog,-10,0,20,0,0
weapon_lmg,rpd_reflex,0,0,0,0,0
weapon_lmg,rpd_grip,25,0,0,0,0
weapon_lmg,saw,70,40,75,80,33
weapon_lmg,saw_acog,-10,0,20,0,0
weapon_lmg,saw_reflex,0,0,0,0,0
weapon_lmg,saw_grip,25,0,0,0,0
weapon_lmg,m60e4,65,85,75,25,33
weapon_lmg,m60e4_acog,-10,0,20,0,0
weapon_lmg,m60e4_reflex,0,0,0,0,0
weapon_lmg,m60e4_grip,25,0,0,0,0
 ,,,,,,
